dun_lama,dun_nama,dun_id,par_lama,state,ge13_voter,2015_q3_vo
N17,GOMBAK SETIA,17,P098,SELANGOR,46285,47375
N06,KUALA KUBU BAHARU,6,P094,SELANGOR,21186,21139
N36,DAMANSARA UTAMA,36,P106,SELANGOR,53394,52981
N35,KAMPUNG TUNKU,35,P106,SELANGOR,32007,31425
N12,JERAM,12,P096,SELANGOR,27541,28268
N53,MORIB,53,P112,SELANGOR,33553,33613
N31,SUBANG JAYA,31,P104,SELANGOR,61688,62547
N48,KOTA ALAM SHAH,48,P110,SELANGOR,29507,29754
N26,BANGI,26,P102,SELANGOR,53268,54812
N25,KAJANG,25,P101,SELANGOR,38965,39989
N24,SEMENYIH,24,P101,SELANGOR,42344,43235
N22,TERATAI,22,P100,SELANGOR,40862,41433
N09,PERMATANG,9,P095,SELANGOR,19636,19669
N28,SERI KEMBANGAN,28,P102,SELANGOR,37042,37272
N23,DUSUN TUA,23,P101,SELANGOR,46038,47073
N05,HULU BERNAM,5,P094,SELANGOR,20933,20858
N42,MERU,42,P109,SELANGOR,39457,40375
N52,TELUK DATUK,52,P112,SELANGOR,24340,24645
N02,SABAK,2,P092,SELANGOR,22131,22048
N10,BUKIT MELAWATI,10,P096,SELANGOR,16118,16356
N29,SERI SERDANG,29,P103,SELANGOR,72769,74411
N37,BUKIT LANJAN,37,P107,SELANGOR,39978,40899
N51,SIJANGKANG,51,P112,SELANGOR,30581,30726
N43,SEMENTA,43,P109,SELANGOR,40406,41453
N41,BATU TIGA,41,P108,SELANGOR,45005,45436
N44,SUNGAI PINANG,44,P109,SELANGOR,27404,27309
N20,LEMBAH JAYA,20,P099,SELANGOR,48668,49023
N47,PANDAMARAN,47,P110,SELANGOR,27594,27312
N40,KOTA ANGGERIK,40,P108,SELANGOR,54952,56714
N30,KINRARA,30,P103,SELANGOR,34241,34790
N27,BALAKONG,27,P102,SELANGOR,42829,44808
N46,PELABUHAN KLANG,46,P110,SELANGOR,39972,41061
N54,TANJONG SEPAT,54,P113,SELANGOR,22213,22027
N04,SEKINCHAN,4,P093,SELANGOR,16247,16121
N55,DENGKIL,55,P113,SELANGOR,38400,39219
N08,SUNGAI BURONG,8,P095,SELANGOR,22697,22937
N01,SUNGAI AIR TAWAR,1,P092,SELANGOR,15187,15054
N33,TAMAN MEDAN,33,P105,SELANGOR,44974,44895
N32,SERI SETIA,32,P104,SELANGOR,39548,39385
N03,SUNGAI PANJANG,3,P093,SELANGOR,26590,26709
N50,SRI MUDA,50,P111,SELANGOR,49146,51086
N19,BUKIT ANTARABANGSA,19,P099,SELANGOR,34467,34070
N45,SELAT KLANG,45,P109,SELANGOR,36892,36981
N15,TAMAN TEMPLER,15,P097,SELANGOR,49368,49829
N14,RAWANG,14,P097,SELANGOR,32208,32941
N18,HULU KELANG,18,P098,SELANGOR,46136,46371
N56,SUNGAI PELEK,56,P113,SELANGOR,23749,23949
N16,BATU CAVES,16,P098,SELANGOR,30869,30854
N34,BUKIT GASING,34,P105,SELANGOR,34584,33898
N49,SERI ANDALAS,49,P111,SELANGOR,56763,58938
N39,KOTA DAMANSARA,39,P107,SELANGOR,44948,46161
N38,PAYA JARAS,38,P107,SELANGOR,43617,44122
N21,CHEMPAKA,21,P100,SELANGOR,42995,43502
N13,KUANG,13,P097,SELANGOR,24319,24660
N07,BATANG KALI,7,P094,SELANGOR,43578,44349
N11,IJOK,11,P096,SELANGOR,18639,18665
